date,deposits,withdrawls,withdrawls
22-Mar-24,157.28,537.48,99.23
22-Mar-24,69.95,271.89,-102.71
23-Mar-24,566.38,358.6,105.07
23-Mar-24,330.11,428.37,6.81
23-Mar-24,42.8,314.97,-265.36
24-Mar-24,46.82,475.39,-693.93
24-Mar-24,832.83,343.6,-204.7
24-Mar-24,779.42,98.13,476.59
25-Mar-24,16.78,118.22,375.15
25-Mar-24,22.89,332.62,65.42
25-Mar-24,427.31,966.02,-473.29
26-Mar-24,703.39,156.75,73.35
26-Mar-24,770.86,881.84,-37.63
26-Mar-24,140.66,575.14,-472.11
27-Mar-24,392.67,777.08,-856.52
27-Mar-24,556.22,289.34,-589.64
27-Mar-24,491.32,227.33,-325.65
28-Mar-24,530.29,612.25,-407.61
28-Mar-24,128.97,337.25,-615.89
28-Mar-24,808.71,811.9,-619.08
29-Mar-24,953.27,76.27,257.92
29-Mar-24,386.54,596.92,47.54
29-Mar-24,414.59,988.86,-526.73
30-Mar-24,523.99,492.42,-495.16
30-Mar-24,794.14,706.5,-407.52
30-Mar-24,909.71,943.53,-441.34
31-Mar-24,825.75,518.66,-134.25
31-Mar-24,500.02,548.39,-182.62
31-Mar-24,751.95,51.93,517.4
1-Apr-24,578.25,483.99,611.66
1-Apr-24,712.15,200.69,1123.12
1-Apr-24,641.22,516.29,1248.05
2-Apr-24,92.33,950.94,389.44
2-Apr-24,425.17,740.5,74.11
2-Apr-24,883.33,577.82,379.62
3-Apr-24,252.56,192.35,439.83
3-Apr-24,840.48,909.35,370.96
3-Apr-24,365.32,104.7,631.58
4-Apr-24,488.04,794.83,324.79
4-Apr-24,213.98,211.91,326.86
4-Apr-24,198.17,847.71,-322.68
5-Apr-24,575.98,900.99,-647.69
5-Apr-24,322.56,258.33,-583.46
5-Apr-24,823.34,39.79,200.09
6-Apr-24,777.81,745.31,232.59
6-Apr-24,37.57,961.65,-691.49
6-Apr-24,774.63,894,-810.86
7-Apr-24,441.24,349.7,-719.32
7-Apr-24,538.66,859.6,-1040.26
7-Apr-24,422.57,691.93,-1309.62
8-Apr-24,287.65,415.49,-1437.46
8-Apr-24,819.88,147.08,-764.66
8-Apr-24,299.06,424.19,-889.79
9-Apr-24,135.14,478.25,-1232.9
9-Apr-24,365.74,884.37,-1751.53
9-Apr-24,520.76,458.82,-1689.59
10-Apr-24,259.47,741.63,-2171.75
10-Apr-24,889.57,210.73,-1492.91
10-Apr-24,870.84,562.9,-1184.97
11-Apr-24,645.91,206.49,-745.55
11-Apr-24,441.01,702.68,-1007.22
11-Apr-24,878.42,95.22,-224.02
12-Apr-24,768.78,316.08,228.68
12-Apr-24,482.06,404.89,305.85
12-Apr-24,912.17,209.24,1008.78
13-Apr-24,785.6,257.63,1536.75
13-Apr-24,300.09,587.02,1249.82
13-Apr-24,805.53,157.97,1897.38
14-Apr-24,154.84,457.84,1594.38
14-Apr-24,739.67,949.86,1384.19
14-Apr-24,930.04,177.17,2137.06
15-Apr-24,288.04,477.89,1947.21
15-Apr-24,767.55,27.49,2687.27
15-Apr-24,850.88,413.71,3124.44
16-Apr-24,265.15,47.67,3341.92
16-Apr-24,483.14,872.42,2952.64
16-Apr-24,929.63,304.52,3577.75
17-Apr-24,517.81,36.47,4059.09
17-Apr-24,514.56,314.67,4258.98
17-Apr-24,704.2,647.24,4315.94
18-Apr-24,931.43,173.41,5073.96
18-Apr-24,980.46,383.36,5671.06
18-Apr-24,64.86,859.71,4876.21
19-Apr-24,752.38,592.08,5036.51
19-Apr-24,892.56,355.84,5573.23
19-Apr-24,246.25,71.2,5748.28
20-Apr-24,750.86,187.15,6311.99
20-Apr-24,403.24,168.46,6546.77
20-Apr-24,48.53,185.24,6410.06
21-Apr-24,595.01,565.93,6439.14
21-Apr-24,30.37,698.87,5770.64
21-Apr-24,10.56,215.54,5565.66
22-Apr-24,311.07,615.62,5261.11
22-Apr-24,414.38,524.85,5150.64
22-Apr-24,68.11,392.13,4826.62
23-Apr-24,62.14,176.11,4712.65
23-Apr-24,936.02,89.19,5559.48
23-Apr-24,143.11,840.65,4861.94
24-Apr-24,165.64,409.56,4618.02
24-Apr-24,666.17,663.72,4620.47
24-Apr-24,402.7,41.01,4982.16
25-Apr-24,160.14,514.97,4627.33
25-Apr-24,793.68,174.63,5246.38
25-Apr-24,424.53,953.87,4717.04
26-Apr-24,652.66,150.03,5219.67
26-Apr-24,970.31,853.99,5335.99
26-Apr-24,244.67,58.21,5522.45
27-Apr-24,447.27,245.04,5724.68
27-Apr-24,215.35,304.83,5635.2
27-Apr-24,895.13,328.77,6201.56
28-Apr-24,271.09,894.33,5578.32
28-Apr-24,292.49,523.77,5347.04
28-Apr-24,901.06,987.79,5260.31
29-Apr-24,589.49,406.36,5443.44
29-Apr-24,44.56,757.37,4730.63
29-Apr-24,828.95,401.25,5158.33
30-Apr-24,625.24,229.3,5554.27
30-Apr-24,936.11,165.12,6325.26
30-Apr-24,140.66,438.29,6027.63
1-May-24,622.6,166.3,6483.93
1-May-24,902.99,150.36,7236.56
1-May-24,386.35,454.41,7168.5
2-May-24,507.84,661.46,7014.88
2-May-24,859.15,111.42,7762.61
2-May-24,427.91,322.06,7868.46
3-May-24,60.15,649.16,7279.45
3-May-24,970.27,930.64,7319.08
3-May-24,926.62,894.01,7351.69
4-May-24,801.8,909.02,7244.47
4-May-24,764.54,117.12,7891.89
4-May-24,663.24,379.12,8176.01
5-May-24,615.14,872.6,7918.55
5-May-24,549.41,455.24,8012.72
5-May-24,4.25,606.58,7410.39
6-May-24,602.17,104.31,7908.25
6-May-24,512.16,227.7,8192.71
6-May-24,701.96,624.68,8269.99
7-May-24,481.86,669.94,8081.91
7-May-24,795.49,861.95,8015.45
7-May-24,844.01,493.38,8366.08
8-May-24,141.35,643.09,7864.34
8-May-24,198.51,124.58,7938.27
8-May-24,993.68,847.58,8084.37
9-May-24,763.06,341.05,8506.38
9-May-24,340.44,276.25,8570.57
9-May-24,323.62,242.65,8651.54
10-May-24,18.51,213.93,8456.12
10-May-24,11.16,88.02,8379.26
10-May-24,532.13,763.77,8147.62
11-May-24,100.49,479.01,7769.1
11-May-24,930.77,261.59,8438.28
11-May-24,492.87,458.65,8472.5
12-May-24,533.6,815.96,8190.14
12-May-24,238.46,663.67,7764.93
12-May-24,272.82,568.6,7469.15
13-May-24,378.43,52.93,7794.65
13-May-24,350.62,482.19,7663.08
13-May-24,548.4,816.02,7395.46
14-May-24,898.69,992.37,7301.78
14-May-24,406.95,808.74,6899.99
14-May-24,394.82,813,6481.81
15-May-24,282.09,844.36,5919.54
15-May-24,667.36,218.18,6368.72
15-May-24,599.68,36.47,6931.93
16-May-24,171.6,967.92,6135.61
16-May-24,89.04,980.43,5244.22
16-May-24,35.44,25.95,5253.71
17-May-24,254.55,351.83,5156.43
17-May-24,26.45,568.85,4614.03
17-May-24,791.11,938.35,4466.79
18-May-24,67.83,993.3,3541.32
18-May-24,630.36,934.77,3236.91
18-May-24,644.84,717.09,3164.66
19-May-24,399.93,99.63,3464.96
19-May-24,428.41,604.79,3288.58
19-May-24,690.2,290,3688.78
20-May-24,9.22,344.18,3353.82
20-May-24,176,934.4,2595.42
20-May-24,444.45,682.93,2356.94
21-May-24,497.73,881.53,1973.14
21-May-24,814.62,323.67,2464.09
21-May-24,301.68,946.31,1819.46
22-May-24,306.56,914.8,1211.22
22-May-24,631.99,303.9,1539.31
22-May-24,87.58,836.34,790.55
23-May-24,586.55,306.76,1070.34
23-May-24,459.03,133.96,1395.41
23-May-24,556.64,653.88,1298.17
24-May-24,206.04,751.31,752.9
24-May-24,462.76,158.59,1057.07
24-May-24,103.31,509.23,651.15
25-May-24,831.3,187.46,1294.99
25-May-24,313.28,797.25,811.02
25-May-24,85.75,568.26,328.51
26-May-24,25.34,49.61,304.24
26-May-24,986.76,25.12,1265.88
26-May-24,177.01,501.18,941.71
27-May-24,289.26,860.94,370.03
27-May-24,255.67,218.95,406.75
27-May-24,452.33,900.96,-41.88
28-May-24,474.82,127.17,305.77
28-May-24,462.21,499.07,268.91
28-May-24,56.25,624.86,-299.7
29-May-24,739.13,446.53,-7.1
29-May-24,488.2,301.52,179.58
29-May-24,904.65,827.07,257.16
30-May-24,352.45,719.14,-109.53
30-May-24,614.11,678.13,-173.55
30-May-24,97.92,422.19,-497.82
31-May-24,601.94,76.37,27.75
31-May-24,842.07,709.8,160.02
31-May-24,575.2,64.98,670.24
1-Jun-24,141.15,677.09,134.3
1-Jun-24,245.61,572.71,-192.8
1-Jun-24,75.26,818.49,-936.03
2-Jun-24,717.64,386.08,-604.47
2-Jun-24,369.93,506.98,-741.52
2-Jun-24,960.79,875.22,-655.95
3-Jun-24,113.58,383.05,-925.42
3-Jun-24,169.91,17.61,-773.12
3-Jun-24,927.78,246.79,-92.13
4-Jun-24,924.24,429.16,402.95
4-Jun-24,593.62,351.33,645.24
4-Jun-24,324.58,510.94,458.88
5-Jun-24,845.52,755.02,549.38
5-Jun-24,634.91,811.07,373.22
5-Jun-24,925.25,638.64,659.83
6-Jun-24,8.2,530.56,137.47
6-Jun-24,716.58,144.48,709.57
6-Jun-24,207.58,556.09,361.06
7-Jun-24,689.32,463.99,586.39
7-Jun-24,397.05,79.02,904.42
7-Jun-24,771.46,528,1147.88
8-Jun-24,973.33,460.52,1660.69
8-Jun-24,622.32,646.25,1636.76
8-Jun-24,989.17,399.01,2226.92
9-Jun-24,507.29,719.84,2014.37
9-Jun-24,426.15,798.11,1642.41
9-Jun-24,200.77,401,1442.18
10-Jun-24,190.36,424.94,1207.6
10-Jun-24,188.1,137.66,1258.04
10-Jun-24,992.11,210.24,2039.91
11-Jun-24,392.25,727.33,1704.83
11-Jun-24,168.4,24.7,1848.53
11-Jun-24,659.23,384.14,2123.62
12-Jun-24,864.38,843.29,2144.71
12-Jun-24,55.08,316.54,1883.25
12-Jun-24,569.11,274.77,2177.59
13-Jun-24,805.12,546,2436.71
13-Jun-24,541.72,145.44,2832.99
13-Jun-24,930.3,932.25,2831.04
14-Jun-24,413.67,445.16,2799.55
14-Jun-24,968.55,895.26,2872.84
14-Jun-24,743.41,174.96,3441.29
15-Jun-24,606.09,112.67,3934.71
15-Jun-24,557.45,725.97,3766.19
15-Jun-24,239.11,674.56,3330.74
16-Jun-24,115.32,486.25,2959.81
16-Jun-24,962.41,439.1,3483.12
16-Jun-24,612.74,601.17,3494.69
17-Jun-24,836.55,816.44,3514.8
17-Jun-24,910.73,324.57,4100.96
17-Jun-24,225.22,307.67,4018.51
18-Jun-24,97.2,434.98,3680.73
18-Jun-24,461.43,153.27,3988.89
18-Jun-24,534.1,598.32,3924.67
19-Jun-24,687.59,39.36,4572.9
19-Jun-24,249.5,83.27,4739.13
19-Jun-24,789.17,421.92,5106.38
20-Jun-24,453.69,699.02,4861.05
20-Jun-24,869.37,519.09,5211.33
20-Jun-24,533.29,746.59,4998.03
21-Jun-24,200.52,76.93,5121.62
21-Jun-24,529.38,64.81,5586.19
21-Jun-24,976.99,283.08,6280.1
22-Jun-24,977.15,764.63,6492.62
22-Jun-24,284.48,148.11,6628.99
22-Jun-24,464.48,848.46,6245.01
23-Jun-24,952.99,610.12,6587.88
23-Jun-24,512.79,977.77,6122.9
23-Jun-24,530.82,383.08,6270.64
24-Jun-24,134.75,752.18,5653.21
24-Jun-24,296.9,519.95,5430.16
24-Jun-24,329.7,430.62,5329.24
25-Jun-24,262.3,606.55,4984.99
25-Jun-24,409.12,395.6,4998.51
25-Jun-24,489.8,665.99,4822.32
26-Jun-24,483.77,613.25,4692.84
26-Jun-24,682.26,94.65,5280.45
26-Jun-24,895.02,492.35,5683.12
27-Jun-24,195.29,52.67,5825.74
27-Jun-24,824.99,655.25,5995.48
27-Jun-24,101.75,236.2,5861.03
28-Jun-24,244.69,97.88,6007.84
28-Jun-24,477.9,909.48,5576.26
28-Jun-24,992.55,494.35,6074.46
29-Jun-24,213.72,122.13,6166.05
29-Jun-24,525.84,811.78,5880.11
29-Jun-24,658.05,333.1,6205.06
30-Jun-24,794.83,966.21,6033.68
30-Jun-24,969.77,428.01,6575.44
30-Jun-24,911.58,515.28,6971.74
1-Jul-24,869.34,720.24,7120.84
1-Jul-24,806.78,327.15,7600.47
1-Jul-24,180.93,865.31,6916.09
2-Jul-24,197.52,559.02,6554.59
2-Jul-24,399.02,95.12,6858.49
2-Jul-24,673.6,890.2,6641.89
3-Jul-24,355.97,588.14,6409.72
3-Jul-24,752.87,853.95,6308.64
3-Jul-24,270.27,910.93,5667.98
4-Jul-24,197.64,609.23,5256.39
4-Jul-24,969.92,348.13,5878.18
4-Jul-24,679.47,172.2,6385.45
5-Jul-24,665.04,348.4,6702.09
5-Jul-24,878.95,270.03,7311.01
5-Jul-24,83.36,303.54,7090.83
6-Jul-24,2.59,992.09,6101.33
6-Jul-24,420.98,661.22,5861.09
6-Jul-24,366.68,733.22,5494.55
7-Jul-24,116.25,735.35,4875.45
7-Jul-24,652.4,576.7,4951.15
7-Jul-24,571.41,100.95,5421.61
8-Jul-24,55.09,886.26,4590.44
8-Jul-24,853.08,840.49,4603.03
8-Jul-24,313.85,580.53,4336.35
9-Jul-24,388.67,605.34,4119.68
9-Jul-24,75.37,474.7,3720.35
9-Jul-24,598.85,996.19,3323.01
10-Jul-24,298.25,464.34,3156.92
10-Jul-24,548.18,773.42,2931.68
10-Jul-24,948.1,282.25,3597.53
11-Jul-24,859.19,363.13,4093.59
11-Jul-24,261.11,527.92,3826.78
11-Jul-24,807.12,69.82,4564.08
12-Jul-24,620.21,101.71,5082.58
12-Jul-24,778.09,969.12,4891.55
12-Jul-24,799.22,359.24,5331.53
13-Jul-24,423.55,77.71,5677.37
13-Jul-24,871.97,244.31,6305.03
13-Jul-24,507.89,825.7,5987.22
14-Jul-24,665.96,672.16,5981.02
14-Jul-24,512.29,139.75,6353.56
14-Jul-24,719.51,424.1,6648.97
15-Jul-24,762.05,825.25,6585.77
15-Jul-24,733.71,412.29,6907.19
15-Jul-24,211.57,850.41,6268.35
16-Jul-24,77.33,191.29,6154.39
16-Jul-24,355.65,629.99,5880.05
16-Jul-24,33.06,609.99,5303.12
17-Jul-24,956.54,219.97,6039.69
17-Jul-24,39.85,550.9,5528.64
17-Jul-24,719.68,41.18,6207.14
18-Jul-24,40.5,462.48,5785.16
18-Jul-24,240.7,106.43,5919.43
18-Jul-24,757.19,470.95,6205.67
19-Jul-24,668.9,619.44,6255.13
19-Jul-24,960.22,191.75,7023.6
19-Jul-24,226.07,989.51,6260.16
20-Jul-24,37.01,377.64,5919.53
20-Jul-24,355.02,494.42,5780.13
20-Jul-24,426.43,396.79,5809.77
21-Jul-24,182.26,97.87,5894.16
21-Jul-24,272.06,775.38,5390.84
21-Jul-24,600.38,193.15,5798.07
22-Jul-24,269.03,750.88,5316.22
22-Jul-24,27.86,630.35,4713.73
22-Jul-24,387.91,856.81,4244.83
23-Jul-24,647.28,575.42,4316.69
23-Jul-24,903.65,283.5,4936.84
23-Jul-24,604.77,829.63,4711.98
24-Jul-24,943.92,708.61,4947.29
24-Jul-24,59.31,450.18,4556.42
24-Jul-24,684.65,21.98,5219.09
25-Jul-24,636.64,100.71,5755.02
25-Jul-24,161.66,271.56,5645.12
25-Jul-24,20.62,891.18,4774.56
26-Jul-24,703.04,490.19,4987.41
26-Jul-24,275.62,395.86,4867.17
26-Jul-24,308.57,96.46,5079.28
27-Jul-24,245.49,284.38,5040.39
27-Jul-24,614.8,327,5328.19
27-Jul-24,448.74,165.72,5611.21
28-Jul-24,594.24,231.83,5973.62
28-Jul-24,707.84,753.99,5927.47
28-Jul-24,389.48,308.06,6008.89
29-Jul-24,966.2,443.96,6531.13
29-Jul-24,834.23,342.35,7023.01
29-Jul-24,227.26,64.78,7185.49
30-Jul-24,689.1,122.23,7752.36
30-Jul-24,84.91,94.92,7742.35
30-Jul-24,745.88,636.4,7851.83
31-Jul-24,79.81,143.15,7788.49
31-Jul-24,831.13,77.85,8541.77
31-Jul-24,707.47,638.37,8610.87
1-Aug-24,348.09,520.23,8438.73
1-Aug-24,264.93,513.65,8190.01
1-Aug-24,92.58,198.04,8084.55
2-Aug-24,903.74,817.61,8170.68
2-Aug-24,697.75,350.76,8517.67
2-Aug-24,684.55,489.31,8712.91
3-Aug-24,288.4,505.52,8495.79
3-Aug-24,266.37,35.12,8727.04
3-Aug-24,693.67,728.6,8692.11
4-Aug-24,436.42,190.01,8938.52
4-Aug-24,504.63,397.72,9045.43
4-Aug-24,654.86,190.45,9509.84
5-Aug-24,740.71,228.11,10022.44
5-Aug-24,712.25,625,10109.69
5-Aug-24,332.21,649.39,9792.51
6-Aug-24,250.13,293.86,9748.78
6-Aug-24,108.06,175.22,9681.62
6-Aug-24,646.14,707.69,9620.07
7-Aug-24,858.92,29.04,10449.95
7-Aug-24,974.64,713.17,10711.42
7-Aug-24,262.2,558.24,10415.38
8-Aug-24,615.7,941.59,10089.49
8-Aug-24,54.33,812.78,9331.04
8-Aug-24,521.57,302.77,9549.84
9-Aug-24,632.47,680.22,9502.09
9-Aug-24,625.81,737.85,9390.05
9-Aug-24,91.82,899.42,8582.45
10-Aug-24,248.59,168.17,8662.87
10-Aug-24,135.39,115.16,8683.1
10-Aug-24,711.23,608.86,8785.47
11-Aug-24,226.26,318.98,8692.75
11-Aug-24,881.11,505.78,9068.08
11-Aug-24,134.29,751.68,8450.69
12-Aug-24,430.21,78.23,8802.67
12-Aug-24,51.54,997.99,7856.22
12-Aug-24,871.09,40.89,8686.42
13-Aug-24,165.02,945.08,7906.36
13-Aug-24,266.47,951.83,7221
13-Aug-24,748.48,691.83,7277.65
14-Aug-24,147.53,683.36,6741.82
14-Aug-24,150.67,137.8,6754.69
14-Aug-24,216.45,652.58,6318.56
15-Aug-24,420.45,362.61,6376.4
15-Aug-24,635.78,909.32,6102.86
15-Aug-24,337.99,330,6110.85
16-Aug-24,380.09,741.16,5749.78
16-Aug-24,114.8,433.69,5430.89
16-Aug-24,166.15,585.29,5011.75
17-Aug-24,11.92,560.25,4463.42
17-Aug-24,203.69,70.57,4596.54
17-Aug-24,9.44,985.51,3620.47
18-Aug-24,909.03,328.02,4201.48
18-Aug-24,490.65,53.57,4638.56
18-Aug-24,982.88,372.57,5248.87
19-Aug-24,639.24,676.91,5211.2
19-Aug-24,738.93,120.99,5829.14
19-Aug-24,29.17,896.83,4961.48
20-Aug-24,359.54,330.72,4990.3
20-Aug-24,69.71,42.43,5017.58
20-Aug-24,682.7,85.23,5615.05
21-Aug-24,143,409.65,5348.4
21-Aug-24,725.41,707.32,5366.49
