date,deposits,withdrawls,balance
07-Oct-24,442.96,114.07,328.89
08-Oct-24,929.75,672.37,586.27
08-Oct-24,221.78,280.46,527.59
08-Oct-24,182.75,218.98,491.36
09-Oct-24,65.61,187.18,369.79
09-Oct-24,110.93,577.28,-96.56
09-Oct-24,67.82,52.6,-81.34
10-Oct-24,510.39,333.36,95.69
10-Oct-24,579.39,429.3,245.78
10-Oct-24,805.76,688.16,363.38
11-Oct-24,703.92,106.8,960.5
11-Oct-24,90.12,163.65,886.97
11-Oct-24,641.49,364.1,1164.36
12-Oct-24,824.1,80.42,1908.04
12-Oct-24,962.13,561.51,2308.66
12-Oct-24,289.63,413.78,2184.51
13-Oct-24,774.74,218.59,2740.66
13-Oct-24,515.94,439.95,2816.65
13-Oct-24,511.72,163.28,3165.09
14-Oct-24,119,345.73,2938.36
14-Oct-24,952.9,410,3481.26
14-Oct-24,927.26,189.19,4219.33
15-Oct-24,661.39,467.83,4412.89
15-Oct-24,784.38,653.02,4544.25
15-Oct-24,79.53,364.67,4259.11
16-Oct-24,73.51,609.37,3723.25
16-Oct-24,414.18,344.06,3793.37
16-Oct-24,260.03,646.91,3406.49
17-Oct-24,503.9,612.08,3298.31
17-Oct-24,122.53,269.87,3150.97
17-Oct-24,220.29,103.42,3267.84
18-Oct-24,181.53,148.18,3301.19
18-Oct-24,65.41,264.83,3101.77
18-Oct-24,786.22,693.08,3194.91
19-Oct-24,927.52,227.27,3895.16
19-Oct-24,211.37,329.95,3776.58
19-Oct-24,27.84,557.25,3247.17
20-Oct-24,95.06,265.55,3076.68
20-Oct-24,294.12,187.02,3183.78
20-Oct-24,409.74,354.7,3238.82
21-Oct-24,721.5,173.18,3787.14
21-Oct-24,528.79,176.35,4139.58
21-Oct-24,726.74,119.93,4746.39
22-Oct-24,138.4,291.38,4593.41
22-Oct-24,78.06,120.4,4551.07
22-Oct-24,222.47,136.51,4637.03
23-Oct-24,690.96,392.54,4935.45
23-Oct-24,329.39,680.19,4584.65
23-Oct-24,462.21,25.46,5021.4
24-Oct-24,560.01,80.89,5500.52
24-Oct-24,472.08,359.59,5613.01
24-Oct-24,320.54,208.06,5725.49
25-Oct-24,879.62,400.68,6204.43
25-Oct-24,138.55,333.75,6009.23
25-Oct-24,235.81,346.8,5898.24
26-Oct-24,950.23,575.4,6273.07
26-Oct-24,738.23,625.89,6385.41
26-Oct-24,60.46,132.84,6313.03
27-Oct-24,715.67,486.91,6541.79
27-Oct-24,94.53,364.62,6271.7
27-Oct-24,453.08,59.09,6665.69
28-Oct-24,247.62,595.66,6317.65
28-Oct-24,472.7,688.47,6101.88
28-Oct-24,448.67,503.99,6046.56
29-Oct-24,131.34,106.35,6071.55
29-Oct-24,796.58,283.63,6584.5
29-Oct-24,912.18,511.75,6984.93
30-Oct-24,556.24,43.48,7497.69
30-Oct-24,927.39,236.35,8188.73
30-Oct-24,872.33,19.62,9041.44
31-Oct-24,200.48,298.28,8943.64
31-Oct-24,101.94,414.4,8631.18
31-Oct-24,114.78,326.47,8419.49
01-Nov-24,349.5,132.25,8636.74
01-Nov-24,164.74,450.68,8350.8
01-Nov-24,650.44,276.26,8724.98
02-Nov-24,904.69,148.89,9480.78
02-Nov-24,695.04,449.06,9726.76
02-Nov-24,11.33,131.4,9606.69
03-Nov-24,136.78,188.68,9554.79
03-Nov-24,136.04,587.98,9102.85
03-Nov-24,60.96,393.05,8770.76
04-Nov-24,551.78,698.5,8624.04
04-Nov-24,83.14,130.58,8576.6
04-Nov-24,356.82,663.85,8269.57
05-Nov-24,481.65,9.42,8741.8
05-Nov-24,934.64,439.09,9237.35
05-Nov-24,725.45,383.87,9578.93
06-Nov-24,152.47,328.94,9402.46
06-Nov-24,681.02,117.41,9966.07
06-Nov-24,454.05,586.25,9833.87
07-Nov-24,507.92,108.18,10233.61
07-Nov-24,272.76,607.44,9898.93
07-Nov-24,794.32,580.84,10112.41
08-Nov-24,655.08,171.04,10596.45
08-Nov-24,135.94,92.97,10639.42
08-Nov-24,853.69,537.61,10955.5
09-Nov-24,173.33,147.48,10981.35
09-Nov-24,459.81,634.82,10806.34
09-Nov-24,215.2,313.93,10707.61
10-Nov-24,856.44,645.59,10918.46
10-Nov-24,706.32,131.36,11493.42
10-Nov-24,330.13,680.96,11142.59
11-Nov-24,215.78,231.4,11126.97
11-Nov-24,991.79,437.24,11681.52
11-Nov-24,379.21,82.44,11978.29
12-Nov-24,879.04,291.99,12565.34
12-Nov-24,454.61,288.42,12731.53
12-Nov-24,177.61,36.18,12872.96
13-Nov-24,191.58,469.8,12594.74
13-Nov-24,986,619.97,12960.77
13-Nov-24,670.44,222.74,13408.47
14-Nov-24,870.96,218.66,14060.77
14-Nov-24,491.69,298.44,14254.02
14-Nov-24,518.27,45.26,14727.03
15-Nov-24,976.91,123.97,15579.97
15-Nov-24,96.24,221.36,15454.85
15-Nov-24,322.95,586.11,15191.69
16-Nov-24,832.05,526.95,15496.79
16-Nov-24,765.49,257.52,16004.76
16-Nov-24,826.7,153.87,16677.59
17-Nov-24,351.13,329.4,16699.32
17-Nov-24,403.22,175.1,16927.44
17-Nov-24,725.18,408.14,17244.48
18-Nov-24,195.59,189.03,17251.04
18-Nov-24,261.6,2.87,17509.77
18-Nov-24,945.53,595.08,17860.22
19-Nov-24,107.09,34.63,17932.68
19-Nov-24,884.8,5.2,18812.28
19-Nov-24,461.39,529.85,18743.82
20-Nov-24,680.79,156.52,19268.09
20-Nov-24,94.09,321.59,19040.59
20-Nov-24,370.66,184.47,19226.78
21-Nov-24,728.05,631.41,19323.42
21-Nov-24,481.3,656.39,19148.33
21-Nov-24,969.38,239.87,19877.84
22-Nov-24,290.29,507.07,19661.06
22-Nov-24,744.42,318.76,20086.72
22-Nov-24,675.64,292.03,20470.33
23-Nov-24,859.49,165.7,21164.12
23-Nov-24,389.67,107.34,21446.45
23-Nov-24,345.05,417.41,21374.09
24-Nov-24,152.99,409.43,21117.65
24-Nov-24,166.29,401.62,20882.32
24-Nov-24,902.62,526.79,21258.15
25-Nov-24,879.19,266.42,21870.92
25-Nov-24,342.64,125.54,22088.02
25-Nov-24,610.88,452.62,22246.28
26-Nov-24,19.37,558.62,21707.03
26-Nov-24,240.56,12.61,21934.98
26-Nov-24,69.97,120.78,21884.17
27-Nov-24,313.83,560.31,21637.69
27-Nov-24,184.29,357.05,21464.93
27-Nov-24,725.27,482.09,21708.11
28-Nov-24,162.27,88.08,21782.3
28-Nov-24,630.25,395.19,22017.36
28-Nov-24,350.8,194.23,22173.93
29-Nov-24,877.54,231.55,22819.92
29-Nov-24,69.25,142.34,22746.83
29-Nov-24,480.91,183.15,23044.59
30-Nov-24,374.94,340.58,23078.95
30-Nov-24,809.87,237.83,23650.99
30-Nov-24,830.68,37.34,24444.33
01-Dec-24,781.67,453.74,24772.26
01-Dec-24,285.53,166.87,24890.92
01-Dec-24,553.38,457.25,24987.05
02-Dec-24,978.77,498.6,25467.22
02-Dec-24,628.2,410,25685.42
02-Dec-24,672.63,18.17,26339.88
03-Dec-24,883.68,480.38,26743.18
03-Dec-24,399.72,462.61,26680.29
03-Dec-24,351.89,437.42,26594.76
04-Dec-24,236.04,426.65,26404.15
04-Dec-24,648.3,352.35,26700.1
04-Dec-24,74.59,377.51,26397.18
05-Dec-24,683.7,507.2,26573.68
05-Dec-24,516.58,282.61,26807.65
05-Dec-24,368.19,46.64,27129.2
06-Dec-24,41.44,338.03,26832.61
06-Dec-24,327.35,271.67,26888.29
06-Dec-24,242.48,663.71,26467.06
07-Dec-24,419.09,378.98,26507.17
07-Dec-24,660.29,22.76,27144.7
07-Dec-24,794.58,221.6,27717.68
08-Dec-24,36.51,324.12,27430.07
08-Dec-24,837.06,179.54,28087.59
08-Dec-24,433.16,287.27,28233.48
09-Dec-24,269.63,170.17,28332.94
09-Dec-24,256.89,696.59,27893.24
09-Dec-24,930.18,404.22,28419.2
10-Dec-24,897.69,215.91,29100.98
10-Dec-24,839.42,174.76,29765.64
10-Dec-24,433.28,20.18,30178.74
11-Dec-24,99.51,690.82,29587.43
11-Dec-24,323.26,471.87,29438.82
11-Dec-24,74.46,7.31,29505.97
12-Dec-24,752.91,482.12,29776.76
12-Dec-24,647.32,178.3,30245.78
12-Dec-24,573.22,255.26,30563.74
13-Dec-24,204.58,284.33,30483.99
13-Dec-24,24.76,25.46,30483.29
13-Dec-24,551.79,410.65,30624.43
14-Dec-24,349.89,501.36,30472.96
14-Dec-24,858.62,697.26,30634.32
14-Dec-24,32.77,420.49,30246.6
15-Dec-24,990.97,372.14,30865.43
15-Dec-24,986.96,202.93,31649.46
15-Dec-24,738.24,629.89,31757.81
16-Dec-24,662.89,101.52,32319.18
16-Dec-24,499.87,40.54,32778.51
16-Dec-24,450.44,285.9,32943.05
17-Dec-24,271.62,265.13,32949.54
17-Dec-24,296.73,269.64,32976.63
17-Dec-24,555.09,138.67,33393.05
18-Dec-24,815.57,35.96,34172.66
18-Dec-24,845.64,263.33,34754.97
18-Dec-24,402.54,145.35,35012.16
19-Dec-24,624.22,13.41,35622.97
19-Dec-24,616.54,94.22,36145.29
19-Dec-24,396.9,118.17,36424.02
20-Dec-24,871.83,18.83,37277.02
20-Dec-24,28.27,364.03,36941.26
20-Dec-24,478.98,489.87,36930.37
21-Dec-24,77.78,660.22,36347.93
21-Dec-24,933.96,250.47,37031.42
21-Dec-24,958.41,192.64,37797.19
22-Dec-24,969.46,236.05,38530.6
22-Dec-24,680.19,172.47,39038.32
22-Dec-24,64.79,550.08,38553.03
23-Dec-24,555.44,371.22,38737.25
23-Dec-24,480.57,291.94,38925.88
23-Dec-24,500.2,625.66,38800.42
24-Dec-24,494.43,281.48,39013.37
24-Dec-24,35.71,617.03,38432.05
24-Dec-24,303.03,22.17,38712.91
25-Dec-24,567.66,372.01,38908.56
25-Dec-24,780.14,139.1,39549.6
25-Dec-24,980.82,403.16,40127.26
26-Dec-24,949.05,423.12,40653.19
26-Dec-24,87.1,350.24,40390.05
26-Dec-24,57.89,245.49,40202.45
27-Dec-24,102.22,115.8,40188.87
27-Dec-24,150.31,255.6,40083.58
27-Dec-24,50.43,245.21,39888.8
28-Dec-24,538.87,88.64,40339.03
28-Dec-24,334.31,206.09,40467.25
28-Dec-24,497.04,75.58,40888.71
29-Dec-24,670.83,379.57,41179.97
29-Dec-24,868.92,266.46,41782.43
29-Dec-24,511.8,680.69,41613.54
30-Dec-24,467.15,414.04,41666.65
30-Dec-24,686.95,597.42,41756.18
30-Dec-24,369.21,26.41,42098.98
31-Dec-24,17.89,465,41651.87
31-Dec-24,337.99,672.17,41317.69
31-Dec-24,278.46,165.48,41430.67
01-Jan-25,677.15,215.19,41892.63
01-Jan-25,788.34,542.18,42138.79
01-Jan-25,700.42,562.32,42276.89
02-Jan-25,260.99,225.96,42311.92
02-Jan-25,731.56,496.49,42546.99
02-Jan-25,944.29,163.59,43327.69
03-Jan-25,784.15,632.47,43479.37
03-Jan-25,193.13,574.79,43097.71
03-Jan-25,645.12,652.11,43090.72
04-Jan-25,593,490.34,43193.38
04-Jan-25,531.89,413.67,43311.6
04-Jan-25,540.72,652.87,43199.45
05-Jan-25,317.48,197.94,43318.99
05-Jan-25,76.18,387.7,43007.47
05-Jan-25,249.82,407.67,42849.62
06-Jan-25,824.41,425.21,43248.82
06-Jan-25,238.89,386.78,43100.93
06-Jan-25,789.11,221.6,43668.44
07-Jan-25,505.77,552.47,43621.74
07-Jan-25,118.53,483.91,43256.36
07-Jan-25,253.64,32.67,43477.33
08-Jan-25,269.4,489.08,43257.65
08-Jan-25,513.22,365.22,43405.65
08-Jan-25,879.67,324.56,43960.76
09-Jan-25,536.46,215.78,44281.44
09-Jan-25,213.9,298.46,44196.88
09-Jan-25,490.7,62.72,44624.86
10-Jan-25,791.7,400.86,45015.7
10-Jan-25,45.38,593.07,44468.01
10-Jan-25,627.72,2.02,45093.71
11-Jan-25,141.43,467.5,44767.64
11-Jan-25,870,353.97,45283.67
11-Jan-25,496.38,210.59,45569.46
12-Jan-25,116.75,557.58,45128.63
12-Jan-25,698.09,41.2,45785.52
12-Jan-25,181.25,398.48,45568.29
13-Jan-25,583.71,516.59,45635.41
13-Jan-25,24.44,30.91,45628.94
13-Jan-25,971.49,68.9,46531.53
14-Jan-25,535.32,67.65,46999.2
14-Jan-25,978.29,309.13,47668.36
14-Jan-25,532.51,112.6,48088.27
15-Jan-25,380.49,374.22,48094.54
15-Jan-25,742.1,62.35,48774.29
15-Jan-25,848.98,131.3,49491.97
16-Jan-25,627.88,679.83,49440.02
16-Jan-25,750.72,693.59,49497.15
